player_name,player_position,player_number,club_nme,player_nationality
 داروين نونيز , مهاجم,رقم اللاعب 11,ليفربول,URY
 ناثانيل فيليبس, مدافع,رقم اللاعب 47,ليفربول,ENG
 كالفين رامساي, مدافع,رقم اللاعب 22,ليفربول,SCO
 إبراهيما كوناتيه, مدافع,رقم اللاعب 24,ليفربول,FRA
 كونستنتينوس تسيميكاس, مدافع,رقم اللاعب 21,ليفربول,GRC
 لويس دياز , مهاجم,رقم اللاعب 23,ليفربول,COL
 تياغو ألكانتارا, لاعب وسط,رقم اللاعب 6,ليفربول,ESP
 فابيو كارفاليو, لاعب وسط,رقم اللاعب 28,ليفربول,PRT
 ديوجو جوتا, مهاجم,رقم اللاعب 20,ليفربول,PRT
 روبرتو فيرمينو, مهاجم,رقم اللاعب 9,ليفربول,BRA
 أليكس أوكسليد-تشامبرلين, لاعب وسط,رقم اللاعب 15,ليفربول,ENG
 جيك كين, لاعب وسط,رقم اللاعب 64,ليفربول,ENG
 فابينيو, لاعب وسط,رقم اللاعب 15,ليفربول,BRA
 كورتيس جونز, لاعب وسط,رقم اللاعب 17,ليفربول,ENG
 جيمس ميلنر, لاعب وسط,رقم اللاعب 7,ليفربول,ENG
 جوردان هندرسون, لاعب وسط,رقم اللاعب 8,ليفربول,ENG
 اليسون, حارس مرمى,رقم اللاعب 1,ليفربول,BRA
 ادريان سان ميجال ديل كاستيو, حارس مرمى,رقم اللاعب 13,ليفربول,ESP
 جو جوميز, مدافع,رقم اللاعب 2,ليفربول,ENG
 جويل ماتيب, مدافع,رقم اللاعب 32,ليفربول,CMR
 ترنت ألكساندر أرنولد, مدافع,رقم اللاعب 18,ليفربول,ENG
 أندرو روبرتسون, مدافع,رقم اللاعب 26,ليفربول,SCO
 فيرجيل فان ديك, مدافع,رقم اللاعب 4,ليفربول,NLD
 نابي كيتا, لاعب وسط,رقم اللاعب 8,ليفربول,GUI
 محمد صلاح, مهاجم,رقم اللاعب 11,ليفربول,EGY
